OVHcloud Region Name,Region Code,Mean,Median,Min,Max,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10
France (Roubaix),fr-ovh-roubaix,109,108,105,116,107,110,108,108,116,109,109,108,105,108
France (Strasbourg),fr-ovh-strasbourg,128,127,114,140,134,114,116,140,139,118,120,137,138,119
Canada (Beauharnois),ca-ovh-beauharnois,445,440,431,474,438,438,453,474,447,431,440,446,440,439
France (Gravelines),fr-ovh-gravelines,112,111,109,123,110,111,110,123,109,110,112,109,112,112
United Kingdom (Erith),gb-ovh-erith,126,124,122,141,141,125,123,123,134,123,123,122,125,124
Germany (Limburg),de-ovh-limburg,169,133,130,461,163,136,131,130,141,133,131,132,133,461
Poland (Warsaw),pl-ovh-warsaw,252,211,196,617,218,196,211,208,210,238,214,209,202,617
Australia (Sydney),au-ovh-sydney,709,704,279,1157,281,1157,279,1131,286,1155,280,1123,280,1121
Singapore (Singapore),sg-ovh-singapore,694,694,676,714,694,714,704,696,676,677,712,680,692,694
United States (Hillsboro),us-ovh-hillsboro,738,678,665,1245,676,665,697,673,677,691,698,1245,678,675
United States (Vint Hill),us-ovh-vinthill,430,431,402,479,433,429,432,440,416,418,443,479,402,403
