GCP Region Name,Region Code,Mean,Median,Min,Max,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,Test 11,Test 12,Test 13
Taiwan (Changhua County),asia-east1,286,280,276,349,349,282,278,278,282,276,279,279,291,281,280,282,278
Hong Kong (Hong Kong),asia-east2,297,295,292,328,295,292,292,297,293,328,296,293,298,295,292,293,297
Japan (Tokyo),asia-northeast1,253,253,246,265,257,251,254,251,246,255,257,265,251,246,253,256,249
Japan (Osaka),asia-northeast2,258,258,255,261,258,260,255,258,258,260,258,261,258,259,258,257,260
South Korea (Seoul),asia-northeast3,287,281,280,317,280,302,280,282,302,281,317,281,281,284,281,283,281
India (Mumbai),asia-south1,384,383,379,393,383,393,382,384,383,379,382,391,382,385,382,383,379
India (Delhi),asia-south2,382,382,377,391,391,382,380,382,385,377,381,381,381,382,382,377,382
Singapore (Jurong West),asia-southeast1,334,314,310,554,314,311,313,554,310,313,318,311,314,313,314,315,336
Indonesia (Jakarta),asia-southeast2,347,330,322,559,342,327,334,324,559,331,330,328,336,323,322,329,331
Australia (Sydney),australia-southeast1,320,299,295,551,299,317,295,300,299,302,299,296,295,305,299,551,302
Australia (Melbourne),australia-southeast2,313,312,306,330,312,315,307,306,308,307,313,307,312,312,313,327,330
Poland (Warsaw),europe-central2,53,52,48,65,53,64,51,48,54,54,51,49,49,65,53,52,51
Finland (Hamina),europe-north1,65,65,62,75,67,67,62,63,62,65,66,62,62,65,66,75,62
Belgium (St. Ghislain),europe-west1,36,30,29,57,30,36,57,29,30,29,34,32,30,29,55,42,30
UK (London),europe-west2,37,36,33,48,38,36,39,38,36,35,36,37,36,48,38,36,33
Germany (Frankfurt),europe-west3,37,37,35,39,37,39,37,37,38,37,37,37,35,37,37,37,37
Netherlands,europe-west4,37,37,35,39,36,39,36,38,36,36,39,38,36,38,39,37,35
Switzerland (Zürich),europe-west6,39,35,34,56,35,56,34,34,46,35,35,35,35,54,44,34,34
Canada (Montreal),northamerica-northeast1,138,113,111,448,113,113,113,113,112,112,112,113,448,111,115,112,112
Canada (Toronto),northamerica-northeast2,126,119,118,205,119,120,119,119,119,118,121,118,205,118,119,120,118
Brazil (São Paulo),southamerica-east1,218,217,214,238,217,217,218,217,214,218,216,218,238,216,215,218,218
Chile (Santiago),southamerica-west1,279,217,214,1038,1038,217,214,218,216,217,216,217,214,217,217,214,216
USA (Iowa),us-central1,156,130,127,326,129,130,128,131,130,326,269,130,143,131,129,130,127
USA (South Carolina),us-east1,117,116,111,133,115,115,116,126,116,116,133,111,117,114,116,115,113
USA (Northern Virginia),us-east4,105,106,102,107,106,106,106,106,106,105,105,105,106,102,107,105,105
USA (Oregon),us-west1,160,159,158,161,159,161,160,159,158,159,159,159,161,161,159,161,159
USA (California),us-west2,173,171,165,204,172,171,169,171,171,165,174,204,167,172,173,166,168
USA (Utah),us-west3,152,150,149,167,152,150,151,149,151,153,150,150,167,149,151,149,150
USA (Nevada),us-west4,164,163,161,173,164,165,162,164,162,162,165,173,163,162,161,166,162
